step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
147,,,,0,rejected_random_bulk,0.37940194296608354,0.37940194296608354,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
148,,,,1,coordination,0.03320417026663769,0.03320417026663769,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
149,-6549.905849951402,-15.59501392845572,-46.785041785367156,1,coordination,-0.6840511774523215,-0.6840511774523215,0.0,1.0,,,135.0,225.0,360.0,279.0,81.0,1.5380952380952382,0.530952380952381,0.6420118343195266,0.7110119047619048,2.7067262146433895,1.9009918970705793,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
150,,,,1,surface_compression,-0.20718641701592588,-0.20718641701592588,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
151,,,,1,coordination,0.064955020609613,0.064955020609613,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
152,,,,1,coordination,0.02022884656281221,0.02022884656281221,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
153,,,,1,surface_compression,-0.08740428156469093,-0.08740428156469093,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
154,,,,1,coordination,-0.16713450075529224,-0.16713450075529224,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
155,,,,1,random_bulk,-0.38905036179120245,-0.38905036179120245,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
156,,,,1,surface_compression,-0.11426411268107728,-0.11426411268107728,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
157,,,,1,coordination,-0.002397528460694076,-0.002397528460694076,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
158,,,,1,coordination,-0.05782724971293973,-0.05782724971293973,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
159,,,,1,coordination,0.16937952695566239,0.16937952695566239,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
160,,,,0,rejected_coordination,0.510570941440168,0.510570941440168,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
161,,,,0,rejected_coordination,0.4103790632679072,0.4103790632679072,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
162,,,,1,relaxation,-0.021380092590582933,-0.021380092590582933,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
163,,,,1,random_surface,-0.01960443099708087,-0.01960443099708087,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
164,,,,1,random_surface,-0.07339672680149611,-0.07339672680149611,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
